id,artist_id,chords,release_date,year,genres,main_genre,spotify_song_id
5,artist_5,<intro_1> C <verse_1> G C G C <chorus_1> F Dmin G Dmin G C <verse_2> G C <chorus_2> F Dmin G Dmin G C F Dmin G Dmin7 G C <verse_3> G C <chorus_3> F Dmin G Dmin G C <chorus_4> F Dmin G Dmin G C,2023-02-10,2023.0,'modern country pop',pop,3zUecdrWC3IqrNSjhnoF3G
7,artist_5,<intro_1> G Bmin Amin D G Bmin <verse_1> Amin D G Emin Amin D G Emin Amin D G Emin Amin D G Bmin Amin D <chorus_1> G Emin Amin7 D G Emin Amin7 D G Emin Amin D G Emin Amin D G Emin Amin <verse_2> D G Emin Amin D G Emin Amin D G Emin Amin D G Emin Amin D <chorus_2> G Emin Amin7 D G Emin Amin7 D G Emin Amin7 D G Emin Amin7 D G Emin Amin D G Emin Amin D G Emin Amin D G Emin Amin <verse_3> D G Emin Amin D G Emin Amin D <chorus_3> G Emin Amin7 D G Emin Amin7 D G Emin Amin D G Emin Amin D G Emin <outro_1> Amin D G Emin Amin D G Emin Amin D G Emin Amin7 D7 G,2023-02-10,2023.0,'modern country pop',pop,1gh9q0HsS3tVXQypDXp4gf
8,artist_7,<intro_1> Fsmin Fsno3d Bno3d E/B Fsno3d Bno3d E/B Fsmin B <chorus_1> Asno3d Gsmin B Csmin Gsmin Csmin Gsmin Fs Bmin Fsmin Fsno3d Bno3d E/B Fsno3d Bno3d E/B Fsmin B <chorus_2> Asno3d Gsmin B Csmin Gsmin Csmin Gsmin Fs Bmin Fsmin Fsno3d Bno3d E/B Fsno3d Bno3d E/B Fsmin E/B Fsmin <outro_1> Bno3d E/B Fsmin Bno3d E/B Fsmin,2023-02-10,2023.0,'french pop' 'nouvelle chanson francaise',pop,4y3uAOMHISJ3OOdjPC1FFN
9,artist_5,<chorus_1> C Amin Dmin G C G Amin Dmin G C <verse_1> Dmin C Dmin C Amin Dmin G <chorus_2> C Amin Dmin G C G Amin Dmin G C <verse_2> Dmin C Dmin C Amin Dmin G <chorus_3> C Amin Dmin G C G Amin Dmin G C F C F G <chorus_4> C Amin Dmin G C G Amin Dmin G C <outro_1> Dmin G C Amin Dmin G C G C,2023-02-10,2023.0,'modern country pop',pop,7FPREUUChbE5dPuDXAzjFz
11,artist_5,<intro_1> Cmaj7 C Cmaj7 C <verse_1> G D Emin D Emin Amin D G <chorus_1> C Cmaj7 C G Cmaj7 C Amin7 Emin <verse_2> G Cmaj7 C Amin7 <chorus_2> G C G C Amin7 G C Amin7 D <bridge_1> G C Amin C <chorus_3> G C G C Amin G <outro_1> Cmaj7 C Amin,2023-02-10,2023.0,'modern country pop',pop,6DneB3VYsHvIYdsfFoI1e6
27,artist_23,<intro_1> A D A D <verse_1> A D A D A D A G <chorus_1> A D A D A D A D A D <verse_2> A D A D A D A G <chorus_2> A D A D A D A D A D A D <bridge_1> A D A D <chorus_3> A D A D A D A D A D <outro_1> A D,2023-02-10,2023.0,'country pop',pop,3Ivl6TLQRmygbBCz2X8f1e
36,artist_28,<chorus_1> Eb Bb Gmin F Eb Bb Gmin F <verse_1> Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F <chorus_2> Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F <verse_2> Eb Bb Gmin F Eb Bb Gmin Eb Bb Gmin F Eb Bb Gmin F <chorus_3> Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F,2023-02-03,2023.0,'singer-songwriter pop',pop,3ekyM2RKssRCbqVhrVt2R0
49,artist_5,<intro_1> Amin D G D Emin7 Amin D G C G <verse_1> Amin D G D Emin7 Amin D G D Emin7 Amin D <chorus_1> C D G D Emin Amin7 D G D Emin Amin7 D Amin D G C G Amin <verse_2> D G D Emin7 Amin D G D Emin Amin D <chorus_2> C D G D Emin Amin7 D G D Emin7 Amin7 D Amin D C D G D Emin Amin D G D Emin <bridge_1> Amin D <chorus_3> C D G D Emin Amin D G D Emin Amin D Amin7 D G D Emin <outro_1> Amin D G C G,2023-02-10,2023.0,'modern country pop',pop,1tU42qWwEaEgqPIS6CLKgV
51,artist_5,<intro_1> C C/B G <verse_1> C Emin7 Amin7 Gmin7 F C Dmin7 G Dmin7 Gno3d G C C/B G C Emin7 Amin7 Gmin7 F C Dmin7 G Dmin7 G C Amin G F C G F Emin G C G <chorus_1> C7 F D7 C G C G <verse_2> C Emin Amin7 Gmin7 C7 F C Dmin7 G Dmin7 G Dmin G C F C G F Emin G C G <chorus_2> C C7 F D C G Amin D C G C,2023-10-13,2023.0,'modern country pop',pop,1HcbOdPIS5KKeTmx05Drl8
53,artist_41,<intro_1> F Dmin G Bb F Dmin G <verse_1> F Dmin G F Dmin G G7 Bb Dmin7 G Bb Dmin7 G C F Dmin7 G F Dmin7 G <verse_2> F Dmin G F Dmin G Bb Dmin G Bb Dmin7 G C F Dmin7 G F Dmin7 G <verse_3> F Dmin G7 F Dmin G Bb Dmin G Bb Dmin7 G C F Dmin7 G <outro_1> F Dmin7 G Fs F,2023-02-10,2023.0,'canadian indie folk' 'chamber pop' 'saskatchewan indie',alternative,3oWGBitSdsizfiIlCfwUqV
