year,spotify_song_id,chords,artist_id
2003,2ffJZ2r8HxI5DHcmf3BO6c,<intro_1> E D A/Cs E D A/Cs <verse_1> E D A/Cs E D A/Cs E D A/Cs E D A C <chorus_1> E G D A E G D A E G D A C D E D A/Cs <verse_2> E D A/Cs E D A/Cs E D A/Cs E D A C <chorus_2> E G D A E G D A E G D A C D <bridge_1> E C G D E C G D E C G D C D E G E G D A E G D A E G D A C D <chorus_3> E G D A E G D A E G D A C D <bridge_2> E C G D E C G D E C G D C D E,artist_2
2003,5KiY8SZEnvCPyIEkFGRR3y,<intro_1> Csmin <verse_1> A Csmin A Csmin A Csmin A B <chorus_1> Csmin A Fsmin A B <verse_2> Csmin A Csmin A Csmin A Csmin A Fsmin <chorus_2> Csmin A Fsmin A B Csmin A Fsmin Csmin <bridge_1> A Csmin A Csmin A Csmin A Csmin <chorus_3> Dsmin B Gsmin B Cs Dsmin B Gsmin Dsmin Csmin A Fsmin Csmin A Fsmin Csmin,artist_3
2022,01TtAcUqyLCRBZq4ZZiQWS,<intro_1> D Dmaj7 D Dmaj7 <verse_1> Emin A D G Emin A D G Emin A D G Emin A D <chorus_1> Emin A D G Emin A D G D/Fs Emin A D G D/Fs Emin A D G <verse_2> Emin A D G Emin A D G Emin A D G Emin A D G Emin A D G Emin A D <chorus_2> Emin A D G Emin A D G D/Fs Emin A D G D/Fs Emin A D G <bridge_1> Emin A D G D/Fs Emin A D G D/Fs Emin A D G D/Fs Emin A D <chorus_3> Emin A D G Emin A D G D/Fs Emin A D G D/Fs Emin A D G <outro_1> Emin A D G D/Fs Emin A D G D/Fs Emin A D G D/Fs Emin A D G <outro_2> Emin A D G D/Fs,artist_4
2023,3zUecdrWC3IqrNSjhnoF3G,<intro_1> C <verse_1> G C G C <chorus_1> F Dmin G Dmin G C <verse_2> G C <chorus_2> F Dmin G Dmin G C F Dmin G Dmin7 G C <verse_3> G C <chorus_3> F Dmin G Dmin G C <chorus_4> F Dmin G Dmin G C,artist_5
2018,2zGr6pFE273K7nnu8ACKjk,<intro_1> C G C G <verse_1> C G C G C Bmin Emin Amin D <chorus_1> G C D G C D G D/Fs F E Amin D G C D G C D G D/Fs F E Amin D <verse_2> C G C G C Bmin Emin Amin D <chorus_2> G C D G C D G D/Fs F E Amin D G C D G C D G D/Fs F E Amin D <chorus_3> G C D G C D G D/Fs F E Amin D G C D G C D G D/Fs F E Amin D C G C G,artist_6
2023,1gh9q0HsS3tVXQypDXp4gf,<intro_1> G Bmin Amin D G Bmin <verse_1> Amin D G Emin Amin D G Emin Amin D G Emin Amin D G Bmin Amin D <chorus_1> G Emin Amin7 D G Emin Amin7 D G Emin Amin D G Emin Amin D G Emin Amin <verse_2> D G Emin Amin D G Emin Amin D G Emin Amin D G Emin Amin D <chorus_2> G Emin Amin7 D G Emin Amin7 D G Emin Amin7 D G Emin Amin7 D G Emin Amin D G Emin Amin D G Emin Amin D G Emin Amin <verse_3> D G Emin Amin D G Emin Amin D <chorus_3> G Emin Amin7 D G Emin Amin7 D G Emin Amin D G Emin Amin D G Emin <outro_1> Amin D G Emin Amin D G Emin Amin D G Emin Amin7 D7 G,artist_5
2023,4y3uAOMHISJ3OOdjPC1FFN,<intro_1> Fsmin Fsno3d Bno3d E/B Fsno3d Bno3d E/B Fsmin B <chorus_1> Asno3d Gsmin B Csmin Gsmin Csmin Gsmin Fs Bmin Fsmin Fsno3d Bno3d E/B Fsno3d Bno3d E/B Fsmin B <chorus_2> Asno3d Gsmin B Csmin Gsmin Csmin Gsmin Fs Bmin Fsmin Fsno3d Bno3d E/B Fsno3d Bno3d E/B Fsmin E/B Fsmin <outro_1> Bno3d E/B Fsmin Bno3d E/B Fsmin,artist_7
2023,7FPREUUChbE5dPuDXAzjFz,<chorus_1> C Amin Dmin G C G Amin Dmin G C <verse_1> Dmin C Dmin C Amin Dmin G <chorus_2> C Amin Dmin G C G Amin Dmin G C <verse_2> Dmin C Dmin C Amin Dmin G <chorus_3> C Amin Dmin G C G Amin Dmin G C F C F G <chorus_4> C Amin Dmin G C G Amin Dmin G C <outro_1> Dmin G C Amin Dmin G C G C,artist_5
2022,6IgzeUSIN04yVLvZdxZ6iI,<chorus_1> Amin G F G Amin Fmaj7 Amin G Amin G Amin G Amin Fmaj7 Amin G <interlude_1> Amin G F G Amin F Amin G Amin Emin Amin Emin Amin Emin Amin Emin <verse_1> Amin Emin Amin Emin Amin F Amin G Amin Emin Amin Emin Amin F Amin G Amin Emin Amin Emin Amin F Amin G <chorus_2> Amin G Amin G Amin F Amin G Amin G Amin G Amin F Amin G <interlude_2> Amin Emin Amin Emin Amin Emin Amin Emin Amin Emin Amin Emin Amin F Amin Emin <verse_2> Amin Emin Amin Emin Amin F Amin G Amin Emin Amin Emin Amin F Amin G Amin Emin Amin Emin Amin F Amin G <chorus_3> Amin G Amin G Amin F Amin G Amin G Amin G Amin F Amin G <interlude_3> Amin Emin Amin Emin Amin Emin Amin Emin Amin Emin Amin Emin Amin F Amin Emin <verse_3> Amin Emin Amin Emin Amin F Amin G <chorus_4> Amin G Amin G Amin F Amin G Amin G Amin G Amin F Amin G <interlude_4> Amin Emin Amin Emin Amin Emin Amin Emin Amin Emin Amin Emin Amin F Amin Emin <outro_1> Amin Emin Amin Emin Amin Emin Amin Emin,artist_8
2023,6DneB3VYsHvIYdsfFoI1e6,<intro_1> Cmaj7 C Cmaj7 C <verse_1> G D Emin D Emin Amin D G <chorus_1> C Cmaj7 C G Cmaj7 C Amin7 Emin <verse_2> G Cmaj7 C Amin7 <chorus_2> G C G C Amin7 G C Amin7 D <bridge_1> G C Amin C <chorus_3> G C G C Amin G <outro_1> Cmaj7 C Amin,artist_5
2022,7MMMb1Ir8VDMAAaIFXFxun,<intro_1> G D Emin <verse_1> G D Emin G D Emin Amin G D Amin G D Emin D <chorus_1> Emin G D Amin Emin G D Amin Emin G D Amin C D G <interlude_1> D Emin <verse_2> G D Emin G D Emin Amin G D Amin G D Emin D <chorus_2> Emin G D Amin Emin G D Amin Emin G D Amin C D G D Amin <interlude_2> G D Amin <bridge_1> G D Amin C G D Amin C G D Amin C G D Amin C Emin D <chorus_3> Emin G D Amin Emin G D Amin Emin G D Amin C D G D Amin C G D Amin C <outro_1> G D Amin C G D Amin C G D Amin C G D Amin C G,artist_9
2009,3ouHmB2wtv5CzbsWlAGZzq,<intro_1> D G D G D G D G D G D Bb C D G D Bb C D <verse_1> G D Bb C D G D Bb C G D G D Bb C D G D Bb C D <chorus_1> C G C A D C <interlude_1> D G D Bb C D G D Bb C D <verse_2> G D Bb C D G D Bb C D G D Bb C D G D Bb C D <chorus_2> C G C A D <interlude_2> A D A D A C D <outro_1> G D Bb C D G D Bb C D G D Bb C D G D Bb C D G D G D Bb C D G D Bb C D,artist_10
2011,3uKv45soturBZVumfsXoag,<intro_1> E G D A <verse_1> D A D A D A D A <chorus_1> E D A E D E D A Bmin D <verse_2> A D A D <chorus_2> E D A E D E D A Bmin D <bridge_1> E G D E G D <verse_3> A D A D E D A E D E D A D E D A E D E D A Bmin D,artist_11
2010,3a3Zhb4QJx7r3yxw4j9VVP,Amin7 Emin Gmaj7 Amin Cmaj7 Emin7 Cmaj7 Amin7 Cmaj7 Emin7 Cmaj7 Amin7 Cmaj7 Amin7 Emin7 Fsmin Amin Fsmin Cmin B Cmaj7 Amin7 Cmaj7 Emin7 Cmaj7 Amin7 Cmaj7 Amin7 Emin7 Fsmin Amin Fsmin Cmin B Amin7 Emin7 Fsmin Amin Fsmin Cmin B Cmaj7 Amin7 Emin7 Dmin7 Cmaj7 Amin Emin7 Dmin7 G7 Cmaj7 Amin7 Emin7 Dmin7 G7 Cmaj7 Amin7 Emin7 Dmin7 G7 Amin7 Emin7 Fsmin Amin Fsmin Cmin B B7 Amin7 Emin7 Fsmin Amin Fsmin Cmin B B7 Amin7,artist_12
2003,0gyyXCNrJ2n4Et5iWYMWud,<intro_1> C Bb C Bb F Bb F Bb <verse_1> G F Bb G F Bb G F Bb G F Bb <chorus_1> F <interlude_1> Bb F Bb <verse_2> G F Bb G F Bb G F Bb G F Bb <chorus_2> F <bridge_1> Bb C D Bb C D Bb C D Bb C D <chorus_3> F E A D E A D <verse_3> G F Bb G F Bb G F Bb G F Bb <chorus_4> F Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D,artist_14
2011,0F5IyjfspYrgLfQLwojQxj,<intro_1> C F <verse_1> C G C G Amin F Amin F G <verse_2> C G C G Amin F Amin F G <chorus_1> F Amin G F Amin G Amin C <verse_3> G C G <chorus_2> F Amin G F Amin G Amin C G C F C F G C G C F C F G <chorus_3> F Amin G F Amin G Amin C F Amin G F Amin G Amin C G C F C F G C G C F C F G C G C F C F G C G C F C F G,artist_15
2022,6MTGc6L8O2uvaWIUINmH93,<intro_1> Gsmin <verse_1> Fs Gsmin Fs B Fs Csmin E B Fs E <chorus_1> Gsmin E B Fs Gsmin E B Fs Gsmin <verse_2> Fs Gsmin Fs B Fs Csmin E B Fs E <chorus_2> Gsmin E B Fs Gsmin E B Fs Gsmin E B Fs Gsmin E B Fs <chorus_3> Gsmin E B Fs Gsmin E B Fs Gsmin,artist_16
2023,4PdGvl0Z3ZrD48jzfGe3ZK,<intro_1> Bb F C Bb F C <verse_1> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F Dmin F/A Bb F C Bb F C <chorus_1> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F C F/A <verse_2> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F C Bb F C <chorus_2> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F C F/A <bridge_1> Bb F C Bb F C Bb F C Bb F C <chorus_3> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F C F/A Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F Dmin F/A,artist_17
1992,5Lp3jYkxzIm9ZkUJ4jeH8P,<intro_1> G Cadd9 G Cadd9 G Cadd9 G <verse_1> Cadd9 G Cadd9 G Cadd9 G Cadd9 G <interlude_1> Cadd9 G <verse_2> Cadd9 G Cadd9 G Cadd9 G Cadd9 G <interlude_2> Cadd9 G Cadd9 G Cadd9 G D G D G C G D G D G C G C D G C G <verse_3> Cadd9 G Cadd9 G Cadd9 G <outro_1> Cadd9 G Cadd9 G,artist_18
2023,0GuYw7qcmDeDKRRGM0l3yp,<intro_1> E D/E E D/E <verse_1> E A E A Csmin B A Csmin B A E B Csmin A E B Csmin A <chorus_1> B A <verse_2> E D/E A E D/E A E Csmin B A Csmin B A E B Csmin A E B Csmin A <chorus_2> B A <verse_3> E B A E B A E B D A E B A <verse_4> B E/Gs A B E/Gs A B E/Gs A B E/Gs A Csmin B A Csmin B A E B E A B <bridge_1> E B E B E B D/E A E B D <verse_5> E B A E B A E B D A E B A <outro_1> B A,artist_19
2019,61vFhkZdG47M0DDOMPXss4,<verse_1> C Emin D Bmin C Emin D Bmin C Emin D Bmin C Emin D <chorus_1> C Emin D Bmin C Emin D Bmin Emin <verse_2> C Emin D Bmin C Emin D Bmin C Emin D <chorus_2> C Emin D Bmin C Emin D Emin Amin C Emin D C Emin D Bmin <bridge_1> Amin C Emin D Amin C Emin D <chorus_3> C Emin D Bmin C Emin D Emin Amin C Emin D C Emin D Bmin <outro_1> Amin C Emin D Amin C Emin D C,artist_20
2023,4rSNCJgnoYlmZTclowwXmr,<intro_1> D A Bmin G <chorus_1> D A Bmin G D A Bmin G D A Bmin7 G <verse_1> D A Bmin7 G D A Bmin7 G D A Bmin7 G <chorus_2> D A Bmin G D A Bmin G D A Bmin7 G <verse_2> D A Bmin G D A Bmin7 G <chorus_3> D A Bmin G D A Bmin G <bridge_1> D A Bmin G <chorus_4> D A Bmin G D A Bmin G D A Bmin G <outro_1> D A Bmin G,artist_21
1997,3l1OK33ZjQSaQJbuzF9w1D,<intro_1> Amin Amin7/G Fmaj7 Esus4 E <verse_1> Amin Amin7/G Fmaj7 E Amin Amin7/G Fmaj7 E C G/B E Amin G/B C G/B Esus4 E Amin Amin7/G Fmaj7 E7 <chorus_1> C G Amin F/A E C G Amin E7 F G E7 Amin F G E7 Amin F G Amin <verse_2> Amin7/G Fmaj7 E Amin Amin7/G Fmaj7 E C G/B E Amin G/B C G/B Esus4 E Amin Amin7/G Fmaj7 E7 <chorus_2> C G Amin F/A E C G Amin E7 F G E7 Amin F G E7 Amin F G Amin <outro_1> F G E7 Amin F G E7 Amin F G Amin,artist_22
2023,3Ivl6TLQRmygbBCz2X8f1e,<intro_1> A D A D <verse_1> A D A D A D A G <chorus_1> A D A D A D A D A D <verse_2> A D A D A D A G <chorus_2> A D A D A D A D A D A D <bridge_1> A D A D <chorus_3> A D A D A D A D A D <outro_1> A D,artist_23
2000,3j1udoaYEcFfiWJ1HqjFVK,<intro_1> Amin Asus2 Amin Amin7/G F E7 F <verse_1> Amin Fmaj7 G E7 <verse_2> Amin Fmaj7 G E7 <chorus_1> Amin Fmaj7 G E Amin F Dmin Gadd11 G Amin Fmaj7 G E Amin F Dmin Gadd11 G Amin <verse_3> Fmaj7 G E <verse_4> Amin Fmaj7 G E <chorus_2> Amin Fmaj7 G E Amin F Dmin Gadd11 G Amin Fmaj7 G E Amin F Dmin Gadd11 G Fmaj7 G <instrumental_1> Fmaj7 G Emin Amin Fmaj7 G Emin Amin <bridge_1> Fmaj7 G E7 Amin Fmaj7 E7 <chorus_3> Amin Fmaj7 G E Amin F Dmin Gadd11 <outro_1> G Amin Fmaj7 Amin,artist_22
2019,1EzC5xAyZvfoJDsiQsu4Mw,<intro_1> C G F Amin C F C G F Amin C F C G F Amin C F C G F Amin C F <chorus_1> C G F Amin C F C G F Amin C F <instrumental_1> C G F Amin C F C G F Amin C F C G F Amin C F C G F Amin C F <chorus_2> C G F Amin C F C G F Amin C F <instrumental_2> C G F Amin C F C G F Amin C F C G F Amin C F C G F Amin C F <chorus_3> C G F Amin C F C G F Amin C F <outro_1> C G F Amin C F,artist_24
2023,3JICV5tPaDMjzpYHBfAUrz,<chorus_1> C Amin G C Amin G <verse_1> Amin G C F Amin G C F Amin G C F Fmin <chorus_2> C Amin G C Amin G <outro_1> C Amin G,artist_25
2022,2Do2aatBxuuKWIav90Njvg,<verse_1> Amaj7 A7 Dmaj7 Dmin7 Amaj7 A7 Dmaj7 Dmin7 Amaj7 <chorus_1> Dmaj7 Dmin7 Amaj7 Dmaj7 Dmin7 Amaj7 <verse_2> A7 Dmaj7 Dmin7 Amaj7 A7 Dmaj7 Dmin7 Amaj7 <chorus_2> Dmaj7 Dmin7 Amaj7 Dmaj7 Dmin7 Amaj7 <instrumental_1> Dmaj7 Amaj7 Dmaj7 Dmin7 Amaj7 <chorus_3> Dmaj7 Dmin7 Amaj7 Dmaj7 Dmin7 Amaj7,artist_25
2022,5JCQgMY2RH0XRQlRTI4rgs,<verse_1> C G Amin F G C G Amin F G C G Amin F G C G Amin F G <chorus_1> Amin G C F G Amin G C F G Amin G C F G Amin G C F G C <verse_2> G Amin F G C G Amin F G C G Amin F G C G Amin F G <chorus_2> Amin G C F G Amin G C F G Amin G C F G Amin G C F G C <instrumental_1> G Amin F G <chorus_3> Amin G C F G Amin G C F G Amin G C F G Amin G C F G C,artist_25
2023,3ekyM2RKssRCbqVhrVt2R0,<chorus_1> Eb Bb Gmin F Eb Bb Gmin F <verse_1> Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F <chorus_2> Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F <verse_2> Eb Bb Gmin F Eb Bb Gmin Eb Bb Gmin F Eb Bb Gmin F <chorus_3> Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F,artist_28
2023,7dz9yXF8VlQCqsDDkZ8NiS,<intro_1> Fsmin G Bmin A <verse_1> Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Emin Fsmin G A <chorus_1> Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Emin Fsmin G A Fsmin G Bmin A <verse_2> Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Fsmin G Bmin A <interlude_1> Emin Fsmin G A <bridge_1> Emin Fsmin G A Emin Fsmin G A Emin Fsmin G A Emin Fsmin G A Emin Fsmin G A Emin Fsmin G A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Emin Fsmin G A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Emin Fsmin G A Fsmin G Bmin A,artist_29
2023,13jdaWLIptrlaN9vrPXOxB,<chorus_1> D Bmin7 A E Bmin7 E7 A <verse_1> Amaj7 A7 Dmaj7 Csmin7 Fsmin7 Bmin7 E7 Dmin Fsmin E B7 <chorus_2> D Bmin7 A E Bmin7 <bridge_1> A Fs7 Bmin7 A Aaug Aadd13 G7 <chorus_3> D Bmin7 A E Bmin7 <outro_1> A D Bmin E A D Bmin E Gs A D Bmin E A D Bmin E Gs A D Bmin E A D Bmin E Gs A D Bmin E A D Bmin,artist_30
2022,4BxfStG0kB4oOYRd7KoCeV,<intro_1> A Emin7 Cadd9 G <verse_1> A Emin7 Cadd9 G A Emin7 Cadd9 G Bmin A Emin A Bmin A Emin A <chorus_1> D A Cadd9 G D A Cadd9 G <verse_2> A Emin7 Cadd9 G A Emin7 Cadd9 G Bmin A Emin A Bmin A Emin A <chorus_2> D A Cadd9 G D A Cadd9 G <outro_1> D A Cadd9 G D A Cadd9 G,artist_31
1999,2dPEPvdL38EnsZk9E4wu1m,<intro_1> Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 <verse_1> Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 <chorus_1> Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 <verse_2> Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 <chorus_2> Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 <bridge_1> Dbmaj7 F/G Eaug/Gb Fmin11 Ebmin9 Ab13 Dbmaj7 F/G Eaug/Gb Fmin11 Ebmin9 Ab13 Dbmaj7 C Bb/D C7/E Fmin7 Bb7 Bbmin7 C13b Fmin7 <chorus_3> Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 <outro_1> Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9,artist_32
