ALink,SName,SLink,Lyric,language
/ivete-sangalo/,Arerê,/ivete-sangalo/arere.html,"Tudo o que eu quero nessa vida,
Toda vida, é
É amar você
Amar você

O seu amor é como uma chama acesa
Queima de prazer
De prazer

Eu já falei com Deus que não vou te deixar
Vou te levar pra onde for
Qualquer lugar
Já fiz de tudo pra não te perder

Arerê,
Um lobby, um hobby, um love com você
Arerê,
Um lobby, um hobby, um love com você

Cai, cai, cai, cai, cai pra cá
Hey, hey, hey
Tu-do,tu-do, vai rolar",pt
/ivete-sangalo/,Se Eu Não Te Amasse Tanto Assim,/ivete-sangalo/se-eu-nao-te-amasse-tanto-assim.html,"Meu coração
Sem direção
Voando só por voar
Sem saber onde chegar
Sonhando em te encontrar
E as estrelas
Que hoje eu descobri
No seu olhar
As estrelas vão me guiar

Se eu não te amasse tanto assim
Talvez perdesse os sonhos
Dentro de mim
E vivesse na escuridão
Se eu não te amasse tanto assim
Talvez não visse flores
Por onde eu vi
Dentro do meu coração

Hoje eu sei
Eu te amei
No vento de um temporal
Mas fui mais
Muito além
Do tempo do vendaval
Nos desejos
Num beijo
Que eu jamais provei igual
E as estrelas dão um sinal

Se eu não te amasse tanto assim
Talvez perdesse os sonhos
Dentro de mim
E vivesse na escuridão
Se eu não te amasse tanto assim
Talvez não visse flores
Por onde eu vi
Dentro do meu coração...",pt
/ivete-sangalo/,Céu da Boca,/ivete-sangalo/chupa-toda.html,"É de babaixá!
É de balacubaca!
É de babaixá!
É de balacubaca!
tetetetere tere tete tere tetere

Eu quero beijar a sua boca louca
Eu quero beijar a sua boca louca
Eu vou enfiar uva no céu da sua boca
Eu vou enfiar uva no céu da sua boca

E aí?
Chupa toda, disse toda
E aí?
Chupa toda, disse toda

É de babaixá!
É de balacubaca!
É de babaixá!
É de balacubaca!
tetetetere tere tete tere tetere

Eu quero beijar a sua boca louca
Eu quero beijar a sua boca louca
Eu vou enfiar uva no céu da sua boca
Eu vou enfiar uva no céu da sua boca

E aí?
Chupa toda, disse toda
E aí?
Chupa toda, disse toda

",pt
/ivete-sangalo/,Quando A Chuva Passar,/ivete-sangalo/quando-a-chuva-passar.html,"Quando a chuva passar

Pra quê falar
Se você não quer me ouvir?
Fugir agora não resolve nada

Mas não vou chorar
Se você quiser partir
Às vezes a distância ajuda

E essa tempestade um dia vai acabar
Só quero te lembrar
De quando a gente andava nas estrelas
Nas horas lindas que passamos juntos
A gente só queria amar e amar e hoje eu tenho certeza

A nossa história não termina agora
Porque essa tempestade um dia vai acabar

(Refrão)
Quando a chuva passar
Quando o tempo abrir
Abra a janela e veja eu sou o sol
Eu sou céu e mar
Eu sou seu e fim
E o meu amor é imensidão

Só quero te lembrar
De quando a gente andava nas estrelas
Nas horas lindas que passamos juntos
A gente só queria amar e amar
E hoje eu tenho certeza
A nossa história não termina agora
Porque essa tempestade um dia vai acabar

(Refrão 2x)",pt
/ivete-sangalo/,Sorte Grande,/ivete-sangalo/sorte-grande.html,"A minha sorte grande foi você cair do céu
Minha paixão verdadeira...

Viver a emoção, ganhar teu coração
Pra ser feliz a vida inteira

Mas é lindo teu sorriso, o brilho dos teus olhos
Meu anjo querubim

Doces dos meus beijos, calor dos meus braços
Perfume de jasmim

Chegou no meu espaço mandando no pedaço
O amor que não é brincadeira
Pegou me deu um laço,
Dançou bem no compasso,
De prazer levantou poeira

Poeira, poeira, poeira
Levantou poeira

A minha sorte grande foi você cair do céu
Minha paixão verdadeira...

Viver a emoção, ganhar teu coração
Pra ser feliz a vida inteira

Mas é lindo teu sorriso, o brilho dos teus olhos
Meu anjo querubim

Doces dos meus beijos, calor dos meus braços
Perfume de jasmim

Chegou no meu espaço mandando no pedaço
O amor que não é brincadeira
Pegou me deu um laço,
Dançou bem no compasso,
De prazer levantou poeira

Poeira, poeira, poeira
Levantou poeira

Chegou no meu espaço mandando no pedaço
O amor que não é brincadeira
Pegou me deu um laço,
Dançou bem no compasso,
De prazer levantou..........Levantou poeira

Poeira, poeira, poeira
Levantou poeira",pt
/ivete-sangalo/,A Lua Q Eu T Dei,/ivete-sangalo/a-lua-q-eu-t-dei.html,"Posso te falar dos sonhos, das flores...
de como a cidade mudou...
Posso te falar do medo, do meu desejo...
do meu amor...
Posso falar da tarde que cai
E aos poucos deixa ver no céu a Lua
Que um dia eu te dei

Gosto de fechar os olhos
Fugir do tempo, de me perder
Posso até perder a hora
Mas sei que já passou das seis
Sei que não há no mundo
Quem possa te dizer
Que não é tua a Lua que eu te dei
Pra brilhar por onde você for
Me queira bem
Durma bem
Meu Amor

(lalaralarara....Ohhhhhhh)

Eu posso falar da tarde que cai
E aos poucos deixa ver no céu a Lua
Que um dia eu te dei
Pra brilhar
Por onde você for
Me queira bem
Durma bem
Meu amor
Durma bem
Me queira bem
Meu Amor

A lua que eu te dei...
A lua que eu te dei...",pt
/ivete-sangalo/,Mulheres Não Têm Que Chorar (com Emicida),/ivete-sangalo/mulheres-nao-tem-que-chorar-com-emicida.html,"Hey, girl
Levanta da cama
O que foi que te aconteceu?
Desencana
Hey, girl
O mundo te chama
Só você não percebeu

Que até o Cristo Redentor abriu os braços pra você
Sol nasceu mais cedo na certeza de te ver
Ah, sei lá, só basta respirar
Pra ver que o amor é claro como o dia
Sai do edredom
Põe aquele batom
Coloca o nosso som e veja como é bom dançar
Sem preocupar

Mulheres não têm que chorar
Mulheres não têm que chorar
Mulheres não têm que chorar
AAh, aah
Mulheres não têm que chorar
Mulheres não têm que chorar
Mulheres não têm que chorar
AAh, aah

E ela se viu só nessa trilha, como uma guerrilha
Na responsa pela da família
Pensamento veloz, talento feroz
O Sol no peito, na boca um gloss
E tudo em nós brilha
No mundo masculino, pobre do menino
Que nas pedras vê sua essência bem refletida
Não confunda força com violência
Respeite a água pois ela molda toda vida
Ciclos lunares e das marés, nos lares de todas as fés
As fêmeas guardam o sagrado sem cobra, sem fraqueza, sem pecado
Na dúvida, rosas têm mil espinhos pra cada desavisado
Saiba

Que até o Cristo Redentor abriu os braços pra você
O Sol nasceu mais cedo na certeza de te ver
Ah, sei lá, só basta respirar
Pra ver que o amor é claro como o dia
Sai do edredom
Põe aquele batom
Coloca o nosso som e veja como é bom dançar (e veja como é bom dançar, yeah)
Sem preocupar

Mulheres não têm que chorar
Mulheres não têm que chorar
Mulheres não têm que chorar
AAh, aah
Mulheres não têm que chorar
Mulheres não têm que chorar
Mulheres não têm que chorar
AAh, aah

Deixa chover
Não importa o que aconteça, pode crer, sou mais você
Quantos leões por dia nós combater
Com a certeza de vencer, vencer
Deixa chover
Não importa o que aconteça, pode crer, sou mais você
Quantos leões por dia nós combater
Com a certeza de vencer
Sempre lembrando que
Até mesmo depois da noite mais escura
O Sol sempre volta
Lembre-se disso
O Sol sempre vem

Mulheres não têm que chorar
Mulheres não têm que chorar
Mulheres não têm que chorar
AAh, aah
Mulheres não têm que chorar
Mulheres não têm que chorar
Mulheres não têm que chorar
AAh, aah",pt
/ivete-sangalo/,Eva / Alô Paixão / Beleza Rara,/ivete-sangalo/eva-alo-paixao-beleza-rara.html,"""EVA""
(Giancarlo Bigazzi/Umberto Tozzi)

Meu amor
Olha só
Hoje o sol não apareceu
É o fim
Da aventura humana na Terra
Meu planeta Adeus
Fugiremos nós dois na arca de Noé

Olha bem, meu amor
é o final da odisséia terrestre
Sou Adão e você será

Minha pequena Eva
Eva
O nosso amor na última astronave
Eva
Além do infinito eu vou voar
sozinho com você

E voando bem alto
Eva
Me abraça pelo espaço de um instante
Eva
Me envolve com teu corpo e me dá
A força pra viver

Pelo espaço de um instante
Afinal não há nada mais
Que o céu azul
Pra a gente voar

Sobre o Rio
Beirute
ou Madagascar
Toda a terra
Reduzida a nada
Nada mais

Minha vida é um flash
De controles
Botões anti-atômicos
Olha bem meu amor
No final da odisséia terrestre
Sou Adão e você será

---------------------------------------------

""ALÔ PAIXÃO""
(Jorge Xaréu)

Eu não vou perder você
Faz parte dessa história
Revelo o segredo
Existente na memória

Vou aqui andando
Caminhando pela vida
Quero te encontrar, sonhando
Sempre em cada esquina

Vivo a me embalar e dançar
Em plena multidão
De amor explode a paixão
Meu coração

Não vou deixar
Vou me revelar pra esse amor
Alô paixão, Alô doçura
Doce ilusão
De um coração

---------------------------------------------

""BELEZA RARA""
(Ed Grandão/Nego John)

Eu não posso deixar que o tempo
Te leve jamais para longe de mim
Pois nosso romance,
Minha vida, é tão lindo

És quem manda e desmanda
Nesse coração
Que só bate em razão de te amar
Daria o mundo a você, se preciso

Você tem o aroma da rosas
Me envolve em teu cheiro
E assim faz minar
A imensa vontade de
Estar ao seu lado

Nem o mar tem o brilho encantante
Como dos teus olhos, minha pedra rara
Eu não vou negar
Sem você meu mundo pára

Mil voltas, e voltas que dei
Querendo de uma vez encontrar
Alguém que levasse a sério amar

Mil voltas, ô voltas que dei
Querendo de uma vez encontrar
Alguém igual a você, beleza rara

Hoje sou e feliz e canto
Só por causa de você

Hoje sou feliz e canto
Só porque amo, amor, você",pt
/ivete-sangalo/,Flor do Reggae,/ivete-sangalo/flor-do-reggae.html,"Um brilho de amor chegou na ilha inteira
E a Lua que traz o amor é Lua cheia
Um grito de dor que vem do peito de quem amou alguém
O reggae me traz saudades de quem me beijou
E agora tá tão distante em outra ilha
O amor me chamou de flor
E disse que eu era alguém pra vida inteira

Como se eu fosse flor, você me cheira
Como se eu fosse flor, você me rega
E nesse reggae eu vou a noite inteira
Porque morrer de amor é brincadeira

Um brilho de amor chegou na ilha inteira
E a Lua que traz o amor é Lua cheia
Um grito de dor que vem do peito de quem amou alguém
O reggae me traz saudades de quem me beijou
E agora tá tão distante em outra ilha
O amor me chamou de flor
E disse que eu era alguém pra vida inteira

Refrão: 3 vezes
Como se eu fosse flor, você me cheira
Como se eu fosse flor, você me rega
E nesse reggae eu vou a noite inteira
Porque morrer de amor é brincadeira",pt
/ivete-sangalo/,Carro Velho,/ivete-sangalo/carro-velho.html,"Cheiro de pneu queimado, carburador furado, coração dilacerado!
Quero meu negão do lado, cabelo penteado no meu carro envenenado

Eu vou Eu vou
Então venha!
Pois eu sei que amar a pé amor, é lenha!
Eu vou Eu vou
Então venha!
Pois eu sei que amar a pé amor, é lenha!
Eu vou pra lá dançar, seja noite ou seja dia, se eu beber algum amor, me guia!
Eu vou pra lá dançar, seja noite ou seja dia, se eu beber algum amor, ohohoho me guia!

Quer andar de carro velho amor, que venha, pois eu sei que amar a pé amor, é lenha!
Quer andar de carro velho amor, que venha, pois eu sei que amar a pé amor, é lenha!

Cheiro de pneu queimado, carburador furado, coração dilacerado!
Quero meu negão do lado, cabelo penteado no meu carro envenenado

Eu vou Eu vou
Então venha!
Pois eu sei que amar a pé amor, é lenha!
Eu vou Eu vou
Então venha!
Pois eu sei que amar a pé amor, é lenha!
Eu vou pra lá dançar, seja noite ou seja dia, se eu beber algum amor, me guia!
Eu vou pra lá dançar, seja noite ou seja dia, se eu beber algum amor, ohohoho me guiar!
Quer andar de carro velho amor, que venha, pois eu sei que amar a pé amor, é lenha!
Quer andar de carro velho amor, que venha, pois eu sei que amar a pé amor, é lenha!",pt
