id,chords,release_date,genres,decade,rock_genre,artist_id,main_genre,spotify_song_id,spotify_artist_id
1,<intro_1> C <verse_1> F C E7 Amin C F C G7 C F C E7 Amin C F G7 C <verse_2> F C E7 Amin C F C G7 C F C E7 Amin C F G7 C <chorus_1> F C F C G C F C E7 Amin C F G7 C <solo_1> D <chorus_2> G D G D A D G D Fs7 Bmin D G A7 D G A7 D,,'classic country pop',,,artist_1,pop,,4AIEGdwDzPELXYgM5JaEY5
2,<intro_1> E D A/Cs E D A/Cs <verse_1> E D A/Cs E D A/Cs E D A/Cs E D A C <chorus_1> E G D A E G D A E G D A C D E D A/Cs <verse_2> E D A/Cs E D A/Cs E D A/Cs E D A C <chorus_2> E G D A E G D A E G D A C D <bridge_1> E C G D E C G D E C G D C D E G E G D A E G D A E G D A C D <chorus_3> E G D A E G D A E G D A C D <bridge_2> E C G D E C G D E C G D C D E,2003-01-01,'alternative metal' 'alternative rock' 'nu metal' 'permanent wave' 'pop rock' 'post-grunge',2000.0,pop rock,artist_2,metal,2ffJZ2r8HxI5DHcmf3BO6c,694QW15WkebjcrWgQHzRYF
3,<intro_1> Csmin <verse_1> A Csmin A Csmin A Csmin A B <chorus_1> Csmin A Fsmin A B <verse_2> Csmin A Csmin A Csmin A Csmin A Fsmin <chorus_2> Csmin A Fsmin A B Csmin A Fsmin Csmin <bridge_1> A Csmin A Csmin A Csmin A Csmin <chorus_3> Dsmin B Gsmin B Cs Dsmin B Gsmin Dsmin Csmin A Fsmin Csmin A Fsmin Csmin,2003-01-01,'alternative metal' 'canadian rock' 'funk metal' 'nu metal' 'post-grunge',2000.0,canadian rock,artist_3,metal,5KiY8SZEnvCPyIEkFGRR3y,0niJkG4tKkne3zwr7I8n9n
4,<intro_1> D Dmaj7 D Dmaj7 <verse_1> Emin A D G Emin A D G Emin A D G Emin A D <chorus_1> Emin A D G Emin A D G D/Fs Emin A D G D/Fs Emin A D G <verse_2> Emin A D G Emin A D G Emin A D G Emin A D G Emin A D G Emin A D <chorus_2> Emin A D G Emin A D G D/Fs Emin A D G D/Fs Emin A D G <bridge_1> Emin A D G D/Fs Emin A D G D/Fs Emin A D G D/Fs Emin A D <chorus_3> Emin A D G Emin A D G D/Fs Emin A D G D/Fs Emin A D G <outro_1> Emin A D G D/Fs Emin A D G D/Fs Emin A D G D/Fs Emin A D G <outro_2> Emin A D G D/Fs,2022-09-23,,2020.0,,artist_4,,01TtAcUqyLCRBZq4ZZiQWS,17BfKBemmMGO5ZAK25wraW
5,<intro_1> C <verse_1> G C G C <chorus_1> F Dmin G Dmin G C <verse_2> G C <chorus_2> F Dmin G Dmin G C F Dmin G Dmin7 G C <verse_3> G C <chorus_3> F Dmin G Dmin G C <chorus_4> F Dmin G Dmin G C,2023-02-10,'modern country pop',2020.0,,artist_5,pop,3zUecdrWC3IqrNSjhnoF3G,4GGfAshSkqoxpZdoaHm7ky
6,<intro_1> C G C G <verse_1> C G C G C Bmin Emin Amin D <chorus_1> G C D G C D G D/Fs F E Amin D G C D G C D G D/Fs F E Amin D <verse_2> C G C G C Bmin Emin Amin D <chorus_2> G C D G C D G D/Fs F E Amin D G C D G C D G D/Fs F E Amin D <chorus_3> G C D G C D G D/Fs F E Amin D G C D G C D G D/Fs F E Amin D C G C G,2018-08-24,'classic opm' 'opm',2010.0,,artist_6,,2zGr6pFE273K7nnu8ACKjk,33kC1w8s5cXEi1zyJZuqSI
7,<intro_1> G Bmin Amin D G Bmin <verse_1> Amin D G Emin Amin D G Emin Amin D G Emin Amin D G Bmin Amin D <chorus_1> G Emin Amin7 D G Emin Amin7 D G Emin Amin D G Emin Amin D G Emin Amin <verse_2> D G Emin Amin D G Emin Amin D G Emin Amin D G Emin Amin D <chorus_2> G Emin Amin7 D G Emin Amin7 D G Emin Amin7 D G Emin Amin7 D G Emin Amin D G Emin Amin D G Emin Amin D G Emin Amin <verse_3> D G Emin Amin D G Emin Amin D <chorus_3> G Emin Amin7 D G Emin Amin7 D G Emin Amin D G Emin Amin D G Emin <outro_1> Amin D G Emin Amin D G Emin Amin D G Emin Amin7 D7 G,2023-02-10,'modern country pop',2020.0,,artist_5,pop,1gh9q0HsS3tVXQypDXp4gf,4GGfAshSkqoxpZdoaHm7ky
8,<intro_1> Fsmin Fsno3d Bno3d E/B Fsno3d Bno3d E/B Fsmin B <chorus_1> Asno3d Gsmin B Csmin Gsmin Csmin Gsmin Fs Bmin Fsmin Fsno3d Bno3d E/B Fsno3d Bno3d E/B Fsmin B <chorus_2> Asno3d Gsmin B Csmin Gsmin Csmin Gsmin Fs Bmin Fsmin Fsno3d Bno3d E/B Fsno3d Bno3d E/B Fsmin E/B Fsmin <outro_1> Bno3d E/B Fsmin Bno3d E/B Fsmin,2023-02-10,'french pop' 'nouvelle chanson francaise',2020.0,,artist_7,pop,4y3uAOMHISJ3OOdjPC1FFN,6e3pZKXUxrPfnUPJ960Hd9
9,<chorus_1> C Amin Dmin G C G Amin Dmin G C <verse_1> Dmin C Dmin C Amin Dmin G <chorus_2> C Amin Dmin G C G Amin Dmin G C <verse_2> Dmin C Dmin C Amin Dmin G <chorus_3> C Amin Dmin G C G Amin Dmin G C F C F G <chorus_4> C Amin Dmin G C G Amin Dmin G C <outro_1> Dmin G C Amin Dmin G C G C,2023-02-10,'modern country pop',2020.0,,artist_5,pop,7FPREUUChbE5dPuDXAzjFz,4GGfAshSkqoxpZdoaHm7ky
10,<chorus_1> Amin G F G Amin Fmaj7 Amin G Amin G Amin G Amin Fmaj7 Amin G <interlude_1> Amin G F G Amin F Amin G Amin Emin Amin Emin Amin Emin Amin Emin <verse_1> Amin Emin Amin Emin Amin F Amin G Amin Emin Amin Emin Amin F Amin G Amin Emin Amin Emin Amin F Amin G <chorus_2> Amin G Amin G Amin F Amin G Amin G Amin G Amin F Amin G <interlude_2> Amin Emin Amin Emin Amin Emin Amin Emin Amin Emin Amin Emin Amin F Amin Emin <verse_2> Amin Emin Amin Emin Amin F Amin G Amin Emin Amin Emin Amin F Amin G Amin Emin Amin Emin Amin F Amin G <chorus_3> Amin G Amin G Amin F Amin G Amin G Amin G Amin F Amin G <interlude_3> Amin Emin Amin Emin Amin Emin Amin Emin Amin Emin Amin Emin Amin F Amin Emin <verse_3> Amin Emin Amin Emin Amin F Amin G <chorus_4> Amin G Amin G Amin F Amin G Amin G Amin G Amin F Amin G <interlude_4> Amin Emin Amin Emin Amin Emin Amin Emin Amin Emin Amin Emin Amin F Amin Emin <outro_1> Amin Emin Amin Emin Amin Emin Amin Emin,2022-05-13,'diva house' 'eurodance' 'german techno' 'hip house',2020.0,,artist_8,electronic,6IgzeUSIN04yVLvZdxZ6iI,2vRfKzjQYJQd67X8x49MOh
